RouteId;Adress Id;Adress;lon;lat;linjenummer;L_u;route_group;type;problem_type
B35-E-Day;302692;CHURCH AV/McDONALD AV;-73.979587;40.64265;1;30.0;Day Busses;Car;HPP
B35-E-Day;308194;39 ST/1 AV;-74.012027;40.656155;1;30.0;Day Busses;Car;HPP
B35-E-Day;302678;39 ST/2 AV;-74.010181;40.654972;2;30.0;Day Busses;Car;HPP
B35-E-Day;302693;CHURCH AV / E 3 ST;-73.97723;40.643612;2;30.0;Day Busses;Car;HPP
B35-E-Day;302679;39 ST/3 AV;-74.008495;40.65396;3;30.0;Day Busses;Car;HPP
B35-E-Day;307581;CHURCH AV/E 5 ST;-73.975219;40.644458;3;30.0;Day Busses;Car;HPP
B35-E-Day;302680;39 ST/4 AV;-74.005795;40.652335;4;30.0;Day Busses;Car;HPP
B35-E-Day;302695;CHURCH AV / OCEAN PKWY;-73.97336;40.645256;4;30.0;Day Busses;Car;HPP
B35-E-Day;302681;39 ST/5 AV;-74.004083;40.651303;5;30.0;Day Busses;Car;HPP
B35-E-Day;302696;CHURCH AV/CONEY ISLAND AV;-73.971013;40.646222;5;30.0;Day Busses;Car;HPP
B35-E-Day;302682;39 ST/6 AV;-74.001423;40.649686;6;30.0;Day Busses;Car;HPP
B35-E-Day;302697;CHURCH AV/WESTMINSTER RD;-73.968043;40.647415;6;30.0;Day Busses;Car;HPP
B35-E-Day;302683;39 ST/7 AV;-73.999232;40.648374;7;30.0;Day Busses;Car;HPP
B35-E-Day;302698;CHURCH AV/RUGBY RD;-73.966292;40.6481;7;30.0;Day Busses;Car;HPP
B35-E-Day;302684;39 ST/8 AV;-73.996987;40.647018;8;30.0;Day Busses;Car;HPP
B35-E-Day;302699;CHURCH AV/E 18 ST;-73.963199;40.649313;8;30.0;Day Busses;Car;HPP
B35-E-Day;302700;CHURCH AV/OCEAN AV;-73.960539;40.650067;9;30.0;Day Busses;Car;HPP
B35-E-Day;306636;39 ST/9 AV;-73.994843;40.645704;9;30.0;Day Busses;Car;HPP
B35-E-Day;302686;39 ST/10 AV;-73.992613;40.644356;10;30.0;Day Busses;Car;HPP
B35-E-Day;302701;CHURCH AV/FLATBUSH AV;-73.958218;40.650362;10;30.0;Day Busses;Car;HPP
B35-E-Day;302687;39 ST/FORT HAMILTON PKWY;-73.990195;40.642895;11;30.0;Day Busses;Car;HPP
B35-E-Day;302702;CHURCH AV/BEDFORD AV;-73.955969;40.650455;11;30.0;Day Busses;Car;HPP
B35-E-Day;302688;39 ST/12 AV;-73.98821;40.641698;12;30.0;Day Busses;Car;HPP
B35-E-Day;901728;CHURCH AV/LLOYD ST;-73.951423;40.650688;12;30.0;Day Busses;Car;HPP
